week_num,2022,Mittelwert,Maximum,Minimum
1,7651.589,8318.452428571429,9216.114,5476.557
2,8121.993,9108.819571428572,9753.617,8487.595
3,8013.439,9032.862428571429,9824.584,8219.204
4,8207.221,9095.08157142857,10109.707,8062.046
5,7823.991,8942.956428571428,9866.775,8037.11
6,7508.512,8888.96542857143,9670.422,7885.674
7,7026.325,8581.292857142858,9536.274,7246.047
8,7165.547,8337.417857142858,9163.638,7028.066
9,7143.733,8207.681142857142,8889.954,6996.787
10,6612.58,8041.541571428571,8837.654,7204.709
11,5841.751,7864.258142857143,8554.464,7039.443
12,5318.977,7613.491857142857,8448.67,6558.983
13,5090.002,7335.437571428572,8104.281,6379.909
14,5239.899,7171.4195714285715,7711.208,6295.545
15,5197.71,7091.161142857142,7672.835,6295.104
16,4987.497,6862.607000000001,7463.107,6097.822
17,4781.317,6850.527285714285,7457.153,5951.002
18,4720.945,6664.235428571429,7343.283,5670.5
19,4548.146,6539.672714285714,7107.694,5813.759
20,4543.535,6641.2341428571435,7214.501,5659.212
21,4465.492,6514.010428571429,7084.041,5430.658
22,4776.064,6499.4890000000005,7136.864,5461.707
23,4682.384,6454.545285714286,7025.156,5366.788
24,4611.802,6366.444,7107.125,5065.083
25,4755.108,6387.040714285715,7107.74,4903.915
26,4538.123,6312.936428571428,7282.582,4648.334
27,4450.765,6304.562285714286,7298.732,4388.928
28,4302.26,6398.300714285715,7575.652,4818.135
29,4040.104,6560.687714285714,7707.804,5316.364
30,4019.321,6425.701714285714,7237.962,5410.202
31,4230.903,6331.9391428571425,7463.334,5203.898
32,4230.467,6226.040428571428,7236.765,5232.351
33,4171.893,6276.850428571429,7246.708,5312.17
34,3757.439,6285.762000000001,7307.846,5168.874
35,3789.138,6334.873714285714,7091.795,4942.491
36,4017.873,6486.521857142857,7365.967,4767.24
37,4270.601,6608.162285714286,7420.19,4915.852
38,,6385.753857142858,7030.625,4841.528
39,,6342.145285714286,6961.298,5267.638
40,,6506.7398571428575,7046.9,5692.313
41,,6704.335285714286,7384.376,6156.391
42,,6811.292571428571,7930.825,6003.638
43,,6863.168142857144,8059.732,6340.113
44,,6982.559714285714,7919.736,6374.963
45,,7137.167571428572,8070.283,6648.611
46,,7274.342285714286,8058.16,6791.226
47,,7426.735285714285,8267.826,6819.222
48,,7836.753857142858,8784.977,7081.987
49,,8002.712428571429,9051.931,7089.055
50,,8106.827285714286,9432.097,7269.493
51,,8157.809142857143,9431.264,7109.792
52,,8348.709499999999,9121.016,7738.575
