Kalenderwoche,2022,Mittelwert,Maximum,Minimum
1,53.09644670050761,59.72334593045005,73.51635514018692,45.86304470854556
2,51.957134799774394,57.9023270844896,73.4696261682243,44.88964346349745
3,48.369994359842075,54.14066422920626,67.68691588785046,40.1586402266289
4,44.37676254935138,50.170763468015956,63.095794392523366,33.17847025495751
5,40.01128031584884,45.697140476307624,58.200934579439256,27.569405099150142
6,36.89791314156796,41.705033236250316,53.41121495327103,25.804630152456237
7,35.025380710659896,37.97580898282011,50.59307105108631,23.387916431394693
8,33.2994923857868,34.25821709194652,48.044627128596595,21.569734613212873
9,31.34799774393683,30.613042139009078,45.00293599530241,19.988706945228685
10,28.41511562323745,26.989104712874894,43.018203170874926,16.73076923076923
11,26.62154540327129,24.03816619455416,40.12918379330593,14.128959276018099
12,24.681331077270162,21.746489819940578,38.3206106870229,12.55656108597285
13,23.699943598420756,19.920949378062105,35.102759835584266,10.972850678733032
14,21.037789058093626,18.030745985954173,32.83617146212566,9.98868778280543
15,19.58262831359278,16.506757866694063,31.579565472695243,9.21937321937322
16,20.304568527918782,15.218932411220782,31.579565472695243,8.270588235294117
17,20.609137055837564,14.756949966524031,32.80093951849677,8.534385569334836
18,20.620417371686408,15.25711803843402,34.58602466236054,9.199549041713642
19,20.27072758037225,16.52830075637677,35.88960657662948,9.605411499436302
20,23.485617597292723,18.550834003171317,37.522019964768056,11.08977978543196
21,30.1297236322617,20.772420101507883,40.97475044039929,13.686583990980832
22,36.1082910321489,24.510061561787584,45.33176746917205,14.91544532130778
23,39.85335589396503,29.176045243233773,47.71579565472695,18.507122507122507
24,43.48561759729272,34.79077249154352,52.307692307692314,21.48148148148148
25,46.779469825155104,41.361363980406345,59.48326482677627,28.193732193732195
26,49.99435984207558,47.63338921015977,65.66059894304169,34.32084309133489
27,55.14946418499718,53.118001900317175,68.50264239577216,38.25526932084309
28,59.36830231246475,58.3591750217006,72.24897240164417,44.49648711943794
29,63.36153412295544,63.02897060755449,74.67997651203758,47.33021077283372
30,66.0800902425268,66.74078346927784,78.21491485613623,51.861826697892276
31,68.73096446700508,70.66735273594401,81.0921902524956,57.7400468384075
32,72.50987027636774,74.90811828927343,86.56542056074767,63.62997658079625
33,76.04060913705584,78.28868113720794,89.36915887850468,65.76112412177986
34,77.56345177664976,81.3126535910627,90.63084112149534,68.71194379391102
35,78.78172588832487,83.38064723126703,92.02102803738318,73.09133489461358
36,,84.92993572317427,92.18457943925233,75.46838407494145
37,,86.02076052521595,94.641598119859,77.88056206088993
38,,86.3436650443735,95.31139835487662,78.25526932084308
39,,86.48275333972298,92.6909518213866,77.97423887587823
40,,85.89619390775898,92.26635514018692,77.6112412177986
41,,85.6908503124499,93.03938859494416,77.1662763466042
42,,85.21631479513317,96.15654205607477,76.00702576112413
43,,83.81937801094949,96.15654205607477,74.75409836065575
44,,82.47280001293474,94.1822429906542,73.48946135831382
45,,81.43072683017063,93.56308411214953,72.48243559718969
46,,79.82197187711019,91.77570093457945,70.0936768149883
47,,77.55083716264993,90.24532710280374,66.94379391100702
48,,74.71748995023796,87.4766355140187,62.81030444964871
49,,71.31064029421093,84.81308411214953,58.95784543325527
50,,68.01988591671797,82.11448598130842,54.53514739229025
51,,63.77516772267065,78.77336448598132,50.62358276643991
52,,60.39556542257712,74.52102803738318,47.26757369614513
53,,59.09965940111819,67.17798594847775,46.49659863945578
